Key,english
plantedSugarCaneGrowingDesc,"This sugar cane plant is growing quickly, its stalks becoming taller and thicker."
plantedSugarCanePlant,Sugar Cane Plant
plantedSugarCanePlantDesc,"A mature sugar cane plant, ready to be harvested for its sweet sap."

drinkJarLager,Lager
drinkJarLagerDesc,"A light, crisp beer that's a favorite for casual drinking."
drinkJarPorter,Porter
drinkJarPorterDesc,"A dark, rich beer with deep, roasted flavors."
drinkJarPilsner,Pilsner
drinkJarPilsnerDesc,"A refreshing, pale beer with a clean finish, perfect for warm days."
drinkJarStout,Stout
drinkJarStoutDesc,"A thick, hearty beer with strong flavors of coffee and chocolate."
drinkJarIPA,IPA
drinkJarIPADesc,"A hoppy, bitter beer with a strong flavor profile, loved by craft beer enthusiasts."
drinkJarPaleAle,Pale Ale
drinkJarPaleAleDesc,"A balanced beer with a pleasant malt and hop character."
drinkJarWheatAle,Wheat Ale
drinkJarWheatAleDesc,"A smooth, hazy beer with hints of fruit and spice, perfect for any occasion."
drinkJarPumpkinAle,Pumpkin Ale
drinkJarPumpkinAleDesc,"A seasonal beer with warm spices and a rich pumpkin flavor, great for autumn."

drinkJarBlueberryJuice,Blueberry Juice
drinkJarBlueberryJuiceDesc,"A refreshing juice bursting with the sweet and tangy flavor of ripe blueberries."

drinkJarWhiskey,Whiskey
drinkJarWhiskeyDesc,"A strong, smooth spirit with deep, warming notes of oak and caramel."
drinkJarVodka,Vodka
drinkJarVodkaDesc,"A clean, crisp spirit, perfect for mixing or sipping straight."
drinkJarRum,Rum
drinkJarRumDesc,"A rich and sweet spirit with notes of molasses and tropical fruits."
drinkJarGin,Gin
drinkJarGinDesc,"A botanical-infused spirit, offering a refreshing taste of juniper and herbs."
drinkJarTequila,Tequila
drinkJarTequilaDesc,"A bold, earthy spirit with a fiery kick, perfect for shots or cocktails."
drinkJarSake,Sake
drinkJarSakeDesc,"A delicate, smooth rice wine with subtle flavors and a refined finish."
drinkJarBrandy,Brandy
drinkJarBrandyDesc,"A luxurious, amber-hued spirit with notes of dried fruit and spices, perfect for sipping."

drinkJarGoldRush,Gold Rush
drinkJarGoldRushDesc,"A cocktail that combines the richness of bourbon with the sweetness of honey and a splash of citrus."
drinkJarIrishCoffee,Irish Coffee
drinkJarIrishCoffeeDesc,"A warming blend of hot coffee, smooth whiskey, and a touch of sugar, topped with cream."
drinkJarGinandJuice,Gin and Juice
drinkJarGinandJuiceDesc,"A laid-back mix of gin and fruit juice, ideal for unwinding."
drinkJarNewVegasBomb,New Vegas Bomb
drinkJarNewVegasBombDesc,"A high-octane cocktail that packs a punch, not for the faint of heart."
drinkJarDayWalker,Day Walker
drinkJarDayWalkerDesc,"A refreshing, blood-orange flavored drink that keeps you sharp, day or night."
drinkJarZombie,Zombie
drinkJarZombieDesc,"A potent tropical cocktail with a mix of rum and fruit juices, strong enough to bring the dead to life."
drinkJarDoubleTapMargarita,Double Tap Margarita
drinkJarDoubleTapMargaritaDesc,"A bold margarita with an extra shot of tequila, perfect for those who live life on the edge."
drinkJarBlueberryLongIslandIcedTea,Blueberry Long Island Iced Tea
drinkJarBlueberryLongIslandIcedTeaDesc,"A twist on the classic Long Island, infused with the sweet and tart flavor of blueberries."

foodHoneyHam,Honey Ham
foodHoneyHamDesc,"Honey Ham is a favorite of people everywhere, whether cooked fresh or from a can."
foodPorkChops,Pork Chops
foodPorkChopsDesc,"Pork Chops are sure to hit the spot whether it's lunch or dinner time!"
foodSushi,Sushi
foodSushiDesc,"A delicate and artfully prepared dish of vinegared rice, fresh seafood, and crisp vegetables."
foodBlueberryMuffins,Blueberry Muffins
foodBlueberryMuffinsDesc,"Blueberry Muffins are a great breakfast or brunch food that washes down well with coffee or Blueberry Juice."
foodSmokedGame,Smoked Game
foodSmokedGameDesc,"Savory and smoky, this game meat is full of rich, intense flavors."
foodChickenNoodles,Chicken Noodles
foodChickenNoodlesDesc,"A comforting dish of tender chicken and hearty noodles, perfect for any meal."
foodRabbitStew,Rabbit Stew
foodRabbitStewDesc,"A rustic stew featuring tender rabbit, slow-cooked with vegetables and herbs."
foodBobcatBurgers,Bobcat Burgers
foodBobcatBurgersDesc,"A wild twist on a classic burger, made with flavorful bobcat meat."
foodBearChili,Bear Chili
foodBearChiliDesc,"A hearty chili packed with the robust flavor of bear meat and spices."

PolymerFishingNet,Polymer Fishing Net
PolymerFishingNetDesc,"A strong and lightweight net, perfect for catching fish with ease."



